	Sp_ds	Sp_hs	Sp_log	Sp_plat
Q09864	444.06	2369.25	565.50	69.82
P21911	614.49	327.72	153.28	1178.15
O59838	278.06	2036.46	695.91	104.17
O14050	0.00	24.85	0.00	11.58
Q09688	102.80	42.68	18.55	1446.50
Q9P6K9	16.99	51.97	158.52	15.09
P0CT42	0.00	73.98	13.76	0.00
O74914	962.90	182.78	8.39	677.21
Q9P782	310.16	1986.52	301.97	118.05
Q9P378	41.19	140.60	802.08	95.31
Q9C105	7.51	21.76	71.21	10.32
O13614	721.75	1617.63	1853.49	229.36
Q10499	336.87	47.83	8.52	169.56
Q10327	761.83	69.56	20.51	188.08
Q9Y7P0	167.67	65.19	35.31	833.93
Q9USN5	105.64	22.08	9.56	267.43
O13912	90.22	40.65	0.00	53.32
Q9P3U6	159.05	1.60	1.14	11.61
Q9P6I7	17.22	15.75	191.70	29.03
O13972	243.96	490.61	856.72	79.03
Q09892	14.47	13.00	0.00	52.57
Q9P778	73.80	656.12	40.92	48.25
O94698	3.86	57.58	117.69	7.89
c2673_g2_i1	30.87	8.36	0.00	33.98
c6038_g1_i1	7.37	38.05	0.00	37.67
P79013	393.32	1068.55	1223.96	113.66
O94602	128.36	112.60	23.66	325.29
O13945	13.67	0.00	13.86	29.72
O60198	47.54	331.33	756.09	26.34
Q9HGL6	17.35	168.35	197.83	46.65
P78797	19.60	243.83	14.88	54.98
O59675	780.67	2435.09	2228.73	145.31
Q09745	314.75	1377.55	107.76	221.22
O13889	42.25	25.90	9.65	116.26
O74791	13.80	102.64	206.92	46.99
Q9UUH8	39.18	0.00	12.09	111.88
Q9UT63	276.18	69.36	4.12	90.22
Q09740	0.00	4.91	10.00	26.34
O13725	215.06	56.05	6.59	629.04
O94440	1619.81	631.10	17.44	1222.13
Q10111	33.30	8.49	3.22	0.00
Q9USI5	367.94	2611.91	362.31	101.21
O42909	867.49	1077.02	58.95	1174.82
Q9UUC1	353.64	1331.03	1402.56	109.40
c2248_g1_i2	12.35	0.00	1.59	111.70
O74395	54.05	13.88	322.91	68.43
O13802	18.22	95.23	190.04	30.24
Q8TPV2	4172.13	2138.13	10.83	899.42
c5525_g1_i1	8.36	0.00	2.26	95.08
Q10101	1763.87	4578.67	5506.98	720.04
O43120	28.34	38.66	0.05	13.52
Q9UTI1	0.00	0.00	7.98	95.18
Q9P7B4	185.91	670.81	65.52	199.51
O14317	255.90	1057.34	1158.57	7.20
O59721	19.79	0.00	10.89	30.95
O13772	36.91	116.24	8.79	42.84
c2826_g1_i1	0.00	111.77	0.00	0.00
P78972	4.67	22.20	81.46	8.96
O59858	1529.49	3235.30	143.54	1980.15
P87147	383.44	994.83	973.19	107.32
O94487	15.78	158.80	7.67	64.00
Q96WU9	61.35	0.00	2.95	79.54
Q10352	38.49	361.16	47.19	37.88
O14367	60.79	8.81	7.40	251.67
O94435	325.45	603.49	42.01	686.98
O94721	8.50	26.50	85.62	0.00
c3069_g1_i1	12.00	295.63	8.03	12.27
O74215	88.92	6.47	6.66	939.95
O94599	2.80	0.00	0.00	21.42
P78812	5073.93	4018.74	691.17	323.68
Q9URZ1	20.49	2.31	5.75	66.16
P78798	76.88	16.73	7.31	485.63
O74899	7.27	4.11	0.00	207.70
O94402	24.25	11.63	6.72	88.20
c6428_g1_i1	0.00	127.54	0.00	0.00
P24488	1183.44	717.13	31.73	2260.66
Q96WW3	12.98	120.05	189.72	62.53
